Município;Código;Gentílico;Prefeito ano 2021;Área Territorial – km²;População estimada - pessoas ano 2021;Densidade demográfica - hab/km² ano 2010;Escolarização 6 a 14 anos - % ano 2010;IDHM Índice de desenvolvimento humano municipal ano 2010;Mortalidade infantil - óbitos por mil nascidos vivos ano 2020;Receitas realizadas - R$ (×1000) ano 2017;Despesas empenhadas - R$ (×1000) ano 2017;PIB per capita - R$ ano 2019
Terezinha;2615102;terezinhense;MATHEUS EMIDIO DE BARROS CALADO;151,45;7227;44,48;95,7;0,545;22,99;21604,02366;19867,65921;9190,63
Terra Nova;2615201;terra-novense;ALINE CLEANNE FILGUEIRA FREIRE DE CARVALHO;318,709;10314;28,95;98,2;0,599;17,86;27518,08336;23823,40346;6990,07
Timbaúba;2615300;timbaubense;MARINALDO ROSENDO DE ALBUQUERQUE;287,683;52587;184,63;97,7;0,618;9,46;112343,98832;105483,28235;12722,07
Toritama;2615409;toritamense;EDILSON TAVARES DE LIMA;25,704;47088;1383,21;91,5;0,618;18,31;83083,63642;76623,86499;15681,21
Tracunhaém;2615508;tracunhaense;ALUIZIO XAVIER DA SILVA;137,321;13856;110,27;97;0,605;9,85;30182,22942;27117,60582;9336,03
Trindade;2615607;trindadense;HELBE DA SILVA RODRIGUES NASCIMENTO;295,765;31103;113,77;97,9;0,595;16,84;70901,81336;71749,18902;10581,1
Triunfo;2615706;triunfense;LUCIANO FERNANDO DE SOUSA;191,518;15232;78,35;98,4;0,67;17,14;40748,33901;42441,73743;9721,31
Tupanatinga;2615805;tupanatinguense;SEVERINO SOARES DOS SANTOS;950,474;27793;25,7;96;0,519;23,65;58318,85729;54689,03625;7084,04
Tuparetama;2615904;tuparetamense;DOMINGOS SÁVIO DA COSTA TORRES;189,509;8266;44,38;98,6;0,634;14,93;24446,26538;23864,86133;10076,69
Venturosa;2616001;venturosense;EUDES TENORIO CAVALCANTI;335,482;18835;50,05;97,5;0,592;19,08;44512,02903;40869,5109;11366,79
Verdejante;2616100;verdejantense;HAROLDO SILVA TAVARES;476,039;9572;19,2;95;0,605;6,9;26578,73918;31719,74387;7927,33
Vertente do Lério;2616183;vertentense do lério;RENATO LIMA DE SALES;73,631;7526;106,93;96,7;0,563;-;24038,25447;22271,32297;8851,57
Vertentes;2616209;vertentense;ROMERO LEAL FERREIRA;196,325;21172;92,82;94,1;0,582;3,33;51439,44604;38326,18208;8276,8
Vicência;2616308;vicenciense;GUILHERME DE ALBUQUERQUE MELO NUNES;228,017;32897;134,78;95,6;0,605;5,14;80651,40542;67622,02953;14579,38
Vitória de Santo Antão;2616407;vitoriense;PAULO ROBERTO LEITE DE ARRUDA;335,942;140389;348,8;96,9;0,64;10,37;299853,94132;243670,30247;30154,3
Xexéu;2616506;xexeuense;THIAGO GONÇALVES DE LIMA;110,815;14789;127,18;95;0,552;14,08;40117,31428;38369,64097;8628,6
